transactionid,userid,amount,category,timestamp,currency
1,1,120.50,Groceries,2026-01-04T10:00:00Z,USD
2,1,45.00,Entertainment,2026-01-12T18:30:00Z,USD
3,1,300.00,Bills,2026-01-20T09:00:00Z,USD
4,1,110.00,Groceries,2026-02-03T10:00:00Z,USD
5,1,60.00,Entertainment,2026-02-14T18:30:00Z,USD
6,1,300.00,Bills,2026-02-20T09:00:00Z,USD
7,1,10.00,,2026-02-25T12:00:00Z,USD
8,1,130.00,Groceries,2026-03-02T10:00:00Z,USD
9,1,50.00,Entertainment,2026-03-13T18:30:00Z,USD
10,1,300.00,Bills,2026-03-20T09:00:00Z,USD
11,1,140.00,Groceries,2026-04-01T10:00:00Z,USD
12,1,70.00,Entertainment,2026-04-11T18:30:00Z,USD
13,1,300.00,Bills,2026-04-20T09:00:00Z,USD
14,1,150.00,Groceries,2026-05-05T10:00:00Z,USD
15,1,55.00,Entertainment,2026-05-15T18:30:00Z,USD
16,1,320.00,Bills,2026-05-20T09:00:00Z,USD
17,1,160.00,Groceries,2026-06-02T10:00:00Z,USD
18,1,65.00,Entertainment,2026-06-16T18:30:00Z,USD
19,1,320.00,Bills,2026-06-20T09:00:00Z,USD
20,2,80.00,Groceries,2026-01-08T10:00:00Z,USD
21,2,20.00,Entertainment,2026-01-18T18:30:00Z,USD
22,2,90.00,Groceries,2026-02-08T10:00:00Z,USD
23,2,25.00,Entertainment,2026-02-18T18:30:00Z,USD
